sample_id	accession_id	CurrentName	plate	well	has_seed	RowTree	Voucher	Provenance	RowNum	YearPlanted	TreeNum	DNNumber	FieldComments	Date	FieldDetermination	Location	Description	Latitude	Longitude	Genus	Subgenus	Section	Series	Subseries	Species	Subspecies
CCA0431	CCA0431	Eucalyptus optima	CC01	E12	No	R027/T08	DN 115	Balladonia, WA	27	1993	8	115		1992-12-06	Eucalyptus optima		Tree to 12m tall. Pure stand. Bark smooth grey over cream to ground level. No buds present.	-32.2927777777778	123.497222222222	Eucalyptus	Symphyomyrtus	Bisectae	Subulatae	Decurrentes	optima	""
CCA0405	CCA0405	Eucalyptus eudesmioides	CC01	F12	Yes	R025/T34	DN 279	Bunjil, WA	25	1993	34	279		1992-12-12	Eucalyptus eudesmioides		Mallee 6m tall. Growing on yellow sandplain. Light grey to cream smooth dull bark. Leaves dull blue-green	-29.6772222222222	116.390555555556	Eucalyptus	Eudesmia	Limbatae	Heteropterae	Tetraedrae	eudesmioides	""
CCA0390	CCA0390	Eucalyptus recta	CC01	G12	No	R025/T14	DN 294	Cadoux, WA	25	1993	14	294		1992-12-13	Eucalyptus recta		Tree to 12m tall. Growing in pure stands in Casuarina shrubland.  Type location. Light grey over white smooth bark. Glossy green leaves	-30.7783333333333	117.173333333333	Eucalyptus	Symphyomyrtus	Bisectae	Falcatae	Rugatae	recta	""
CCA0375	CCA0375	Eucalyptus decipiens	CC01	H12	Yes	R024/T33	DN 227	Takalerup, WA	24	1993	33	227		1992-12-10	Eucalyptus decipiens	Chester Pass Rd, between Porongurups Ranges and Kamballup	Large mallee or scraggly tree 6m tall. Growing in depression with E. calophylla. Bark rough flaky to chunky bark to 5cm diameter. Leaves dull green.	-34.6555555555556	117.955833333333							
EmelCSIRO-rep2	EmelCSIRO		CC02	C01	No																					
CCA0278	CCA0278	Eucalyptus kochii subsp. kochii	CC02	D01	Yes	R020/T11	DN 288	Pithara, WA	20	1993	11	288		1992-12-13	Eucalyptus kochii subsp. kochii	East of Dalwallinu, Western Australia.	Mallee to 6 metres tall. Dark grey, rough, slightly stringy bark to smaller branches. Glossy green leaves. Growing on brown loan with Eucalyptus erthronema var. marginata and E. subangusta.  PERTH	-30.2838888888889	116.873055555556	Eucalyptus	Symphyomyrtus	Bisectae	Subulatae	Oleaginae	kochii	kochii
CCA0266	CCA0266	Eucalyptus delicata	CC02	E01	No	R019/T29	DN 149	Lort River, WA	19	1993	29	149		1992-12-06	Eucalyptus delicata		Tree 12m tall on mallee sandplain with E. valens and E. flocktoniae bark rough for ~2m. Leaves very glossy.	-33.0558333333333	121.174166666667	Eucalyptus	Symphyomyrtus	Bisectae	Subulatae	Spirales	delicata	""
CCA0248	CCA0248	Eucalyptus micranthera	CC02	F01	Yes	R018/T34	DN 172	Condingup, WA	18	1993	34	172		1992-12-08	Eucalyptus micranthera		Mallee erect to 4m tall, with E. eyreana, E. uncinata, E. leptocalyx, and E. varia ssp. varia. Bark smooth grey. Leaves slightly glossy green.	-33.8138888888889	122.48	Eucalyptus	Symphyomyrtus	Bisectae	Micrantherae	Micrantherae	micranthera	""
CCA0175	CCA0175	Eucalyptus brockwayi	CC02	G01	No	R015/T13	DN 136	Norseman, WA	15	1993	13	136		1992-12-06	Eucalyptus brockwayi		Tree 20m tall. With E. lesoufii and E. celastroides. Rare.	-32.1366666666667	121.694166666667	Eucalyptus	Symphyomyrtus	Bisectae	Brockwayanae	""	brockwayi	""
CCA0124	CCA0124	Eucalyptus angustissima	CC02	H01	Yes	R013/T20	DN 150	Peak Charles, WA	13	1993	20	150		1992-12-06	Eucalyptus angustissima	Upper Lort River , north-west of Esperance, Western Australia.	Mallee to 3 metres tall. Growing with Eucalyptus incrassata on sandplain near salt lake. PERTH	-33.0461111111111	121.172222222222	Eucalyptus	Symphyomyrtus	Bisectae	Angustissimae	""	angustissima	""
CCA0003	CCA0003	Eucalyptus mannensis subsp. mannensis	CC02	A02	Yes	R009/T05	-	Giles, WA	9	1993	5									Eucalyptus	Symphyomyrtus	Bisectae	Micrantherae	Bakerianae	mannensis	mannensis
CCA0016	CCA0016	Eucalyptus socialis subsp. victoriensis	CC02	B02	No	R009/T31	DN 113	Ooldea Range, SA	9	1993	31	113		1992-12-05	Eucalyptus socialis subsp. victoriensis	West of Vokes Hill to Cook Road	Mallee 3-4m tall. Common, often dominant on mallee sandplain with E. concinna. Bark rough on butt. No buds. Similar to E. eucentrica but non glaucous and thicker leaves and fruit.	-29.3697222222222	130.049166666667	Eucalyptus	Symphyomyrtus	Bisectae	Subulatae	Decussatae	socialis	victoriensis
CCA0037	CCA0037	Eucalyptus ebbanoensis subsp. ebbanoensis	CC02	C02	Yes	R010/T24	DN 293	Wongan Hills, WA	10	1993	24	293		1992-12-13	Eucalyptus ebbanoensis subsp. ebbanoensis	WA	Large erect mallee to 10m tall. Growing on orange gravelly soil with E. eudesmioides.  Locally dominant. Pink-grey over light greenish grey bark. Dull, light green leaves	-30.8302777777778	116.639166666667	Eucalyptus	Eudesmia	Limbatae	Ebbanoenses	""	ebbanoensis	ebbanoensis
CCA0038	CCA0038	Eucalyptus ebbanoensis subsp. ebbanoensis	CC02	D02	Yes	R010/T25	DN 293	Wongan Hills, WA	10	1993	25	293		1992-12-13	Eucalyptus ebbanoensis subsp. ebbanoensis	WA	Large erect mallee to 10m tall. Growing on orange gravelly soil with E. eudesmioides.  Locally dominant. Pink-grey over light greenish grey bark. Dull, light green leaves	-30.8302777777778	116.639166666667	Eucalyptus	Eudesmia	Limbatae	Ebbanoenses	""	ebbanoensis	ebbanoensis
CCA0758	CCA0758	Eucalyptus blakelyi	CC02	E02	Yes	R050/T01	DN 722	Inverell, NSW	50	1994	1	722		1993-12-10	Eucalyptus blakelyi	Near Bingara, New South Wales.	Tree 10 m tall. Bark ± smooth, grey over light grey. Leaves slightly glossy green. In full flower (white). Growing on hill slope with Eucalyptus melliodora. Grafton Map.	-29.7458333333333	151.560555555556	Eucalyptus	Symphyomyrtus	Exsertaria	Exsertae	Erythroxyla	blakelyi	""
CCA0904	CCA0904	Eucalyptus cloeziana	CC02	F02	Yes	R056/T23	DN 696	Isla Gorge, Qld	56	1994	23	696		1993-12-07	Eucalyptus cloeziana	Liechhardt Highway, Isla Gorge National Park, Queensland.	Tree 16 metres tall. Bark rough, tessellated, reddish brown. Leaves discolourous, ± dull, green. Growing in dry, sandy creek bed with Corymbia variegata and Eucalyptus crebra. Taroom Map.	-25.1847222222222	149.989166666667	Eucalyptus	Idiogenes	""	""	""	cloeziana	""
CCA0937	CCA0937	Corymbia gummifera	CC02	G02	No	R058/T36	-	Unknown	58	1994	36									Corymbia	Corymbia	Corymbia	'Cymbiformes' ms	""	gummifera	""
