AccessionID,AccessionName,SampleID,SampleName,AnonName,PopulationName,Latitude,Longitude,Altitude,HaveBGISeq,BGIReadPairs
A25059,LB-D-6,S45059,D-6,LBM01C08,LB-D,-36.3675,145.70232,268,TRUE,40450449
A25060,LB-D-7,S45060,D-7,LBM01D08,LB-D,-36.3675,145.70232,268,FALSE,NA
A25061,LB-D-8,S45061,D-8,LBM01E08,LB-D,-36.3675,145.70232,268,TRUE,33195101
A25062,LB-D-9,S45062,D-9,LBM01F08,LB-D,-36.3675,145.70232,268,FALSE,NA
A25063,LB-D-10,S45063,D-10,LBM01G08,LB-D,-36.3675,145.70232,268,TRUE,40470943
A25064,LB-V-1,S45064,V-1,LBM01H08,LB-V,-33.423,149.752,844,TRUE,39311495
A25065,LB-V-2,S45065,V-2,LBM01A09,LB-V,-33.423,149.752,844,TRUE,37727474
A25066,LB-V-3,S45066,V-3,LBM01B09,LB-V,-33.423,149.752,844,TRUE,33576134
A25067,LB-V-4,S45067,V-4,LBM01C09,LB-V,-33.423,149.752,844,TRUE,39942150
A25068,LB-V-5,S45068,V-5,LBM01D09,LB-V,-33.423,149.752,844,TRUE,35677801
A25069,LB-V-6,S45069,V-6,LBM01E09,LB-V,-33.423,149.752,844,TRUE,41597200
A25070,LB-V-7,S45070,V-7,LBM01F09,LB-V,-33.423,149.752,844,TRUE,45292795
A25071,LB-V-8,S45071,V-8,LBM01G09,LB-V,-33.423,149.752,844,TRUE,49484857
A25072,LB-V-9,S45072,V-9,LBM01H09,LB-V,-33.423,149.752,844,TRUE,36505957
A25073,LB-V-10,S45073,V-10,LBM01A10,LB-V,-33.423,149.752,844,FALSE,NA
A25074,LB-A-2,S45074,A-2,LBM01B10,LB-A,-36.388,146.481,181,TRUE,41002253
A25075,LB-A-3,S45075,A-3,LBM01C10,LB-A,-36.388,146.481,181,TRUE,45358726
A25076,LB-A-4,S45076,A-4,LBM01D10,LB-A,-36.388,146.481,181,TRUE,40649449
A25077,LB-A-5,S45077,A-5,LBM01E10,LB-A,-36.388,146.481,181,FALSE,NA
A25078,LB-A-6,S45078,A-6,LBM01F10,LB-A,-36.388,146.481,181,TRUE,41423441
A25079,LB-A-7,S45079,A-7,LBM01G10,LB-A,-36.388,146.481,181,FALSE,NA
A25080,LB-A-8,S45080,A-8,LBM01H10,LB-A,-36.388,146.481,181,TRUE,48979283
A25081,LB-A-9,S45081,A-9,LBM01A11,LB-A,-36.388,146.481,181,FALSE,NA
A25082,LB-A-10,S45082,A-10,LBM01B11,LB-A,-36.388,146.481,181,FALSE,NA
A25083,LB-A-11,S45083,A-11,LBM01C11,LB-A,-36.388,146.481,181,FALSE,NA
A25084,LB-1-1,S45084,1-1,LBM01D11,LB-1,-33.416668,149.55055,712,TRUE,34095597
A25085,LB-1-2,S45085,1-2,LBM01E11,LB-1,-33.416668,149.55055,712,FALSE,NA
A25086,LB-1-3,S45086,1-3,LBM01F11,LB-1,-33.416668,149.55055,712,FALSE,NA
A25087,LB-1-4,S45087,1-4,LBM01G11,LB-1,-33.416668,149.55055,712,TRUE,36128663
A25088,LB-1-5,S45088,1-5,LBM01H11,LB-1,-33.416668,149.55055,712,TRUE,43154294
A25089,LB-1-6,S45089,1-6,LBM01A12,LB-1,-33.416668,149.55055,712,TRUE,37206904
A25090,LB-1-7,S45090,1-7,LBM01B12,LB-1,-33.416668,149.55055,712,TRUE,27162284
A25091,LB-1-8,S45091,1-8,LBM01C12,LB-1,-33.416668,149.55055,712,TRUE,41971609
A25092,LB-1-9,S45092,1-9,LBM01D12,LB-1,-33.416668,149.55055,712,TRUE,35210929
