AccessionID,AccessionName,SampleID,SampleName,AnonName,PopulationName,Latitude,Longitude,Altitude,HaveBGISeq,BGIReadPairs
A25255,LB-19-9,S45255,19-9,LBM03G08,LB-19,-37.179444,144.483333,517,TRUE,50756315
A25256,LB-19-10,S45256,19-10,LBM03H08,LB-19,-37.179444,144.483333,517,FALSE,NA
A25257,LB-K2-1,S45257,K2-1,LBM03A09,LB-K2,-30.54493,151.79367,1055,FALSE,NA
A25258,LB-K2-2,S45258,K2-2,LBM03B09,LB-K2,-30.54493,151.79367,1055,TRUE,41700199
A25259,LB-K2-3,S45259,K2-3,LBM03C09,LB-K2,-30.54493,151.79367,1055,TRUE,43956705
A25260,LB-K2-4,S45260,K2-4,LBM03D09,LB-K2,-30.54493,151.79367,1055,TRUE,38110525
A25261,LB-K2-5,S45261,K2-5,LBM03E09,LB-K2,-30.54493,151.79367,1055,TRUE,54582444
A25262,LB-K2-6,S45262,K2-6,LBM03F09,LB-K2,-30.54493,151.79367,1055,TRUE,45367082
A25263,LB-K2-7,S45263,K2-7,LBM03G09,LB-K2,-30.54493,151.79367,1055,TRUE,49125092
A25264,LB-K2-8,S45264,K2-8,LBM03H09,LB-K2,-30.54493,151.79367,1055,FALSE,NA
A25265,LB-K2-9,S45265,K2-9,LBM03A10,LB-K2,-30.54493,151.79367,1055,FALSE,NA
A25266,LB-K2-10,S45266,K2-10,LBM03B10,LB-K2,-30.54493,151.79367,1055,TRUE,50890804
A25267,LB-20-1,S45267,20-1,LBM03C10,LB-20,-34.911785,148.971179,562,TRUE,69207988
A25268,LB-20-2,S45268,20-2,LBM03D10,LB-20,-34.911785,148.971179,562,TRUE,52864790
A25269,LB-20-3,S45269,20-3,LBM03E10,LB-20,-34.911785,148.971179,562,TRUE,44776291
A25270,LB-20-4,S45270,20-4,LBM03F10,LB-20,-34.911785,148.971179,562,TRUE,52357044
A25271,LB-20-5,S45271,20-5,LBM03G10,LB-20,-34.911785,148.971179,562,TRUE,63006436
A25272,LB-20-6,S45272,20-6,LBM03H10,LB-20,-34.911785,148.971179,562,FALSE,NA
A25273,LB-20-7,S45273,20-7,LBM03A11,LB-20,-34.911785,148.971179,562,TRUE,54135354
A25274,LB-20-8,S45274,20-8,LBM03B11,LB-20,-34.911785,148.971179,562,TRUE,45476976
A25275,LB-20-9,S45275,20-9,LBM03C11,LB-20,-34.911785,148.971179,562,TRUE,48865647
A25276,LB-20-10,S45276,20-10,LBM03D11,LB-20,-34.911785,148.971179,562,TRUE,47574903
A25277,LB-W2-1,S45277,W2-1,LBM03E11,LB-W2,-36.580471,143.521639,206,TRUE,50399135
A25278,LB-W2-2,S45278,W2-2,LBM03F11,LB-W2,-36.580471,143.521639,206,TRUE,89243919
A25279,LB-W2-3,S45279,W2-3,LBM03G11,LB-W2,-36.580471,143.521639,206,TRUE,38034306
A25280,LB-W2-4,S45280,W2-4,LBM03H11,LB-W2,-36.580471,143.521639,206,FALSE,NA
A25281,LB-W2-5,S45281,W2-5,LBM03A12,LB-W2,-36.580471,143.521639,206,FALSE,NA
A25282,LB-W2-6,S45282,W2-6,LBM03B12,LB-W2,-36.580471,143.521639,206,FALSE,NA
A25283,LB-W2-7,S45283,W2-7,LBM03C12,LB-W2,-36.580471,143.521639,206,FALSE,NA
A25284,LB-W2-8,S45284,W2-8,LBM03D12,LB-W2,-36.580471,143.521639,206,FALSE,NA
A25285,LB-W2-9,S45285,W2-9,LBM03E12,LB-W2,-36.580471,143.521639,206,TRUE,37443513
A25286,LB-W2-10,S45286,W2-10,LBM03F12,LB-W2,-36.580471,143.521639,206,FALSE,NA
A25287,LB-24-1,S45287,24-1,LBM03G12,LB-24,-36.980278,144.047611,333,FALSE,NA
A25288,LB-24-2,S45288,24-2,LBM03H12,LB-24,-36.980278,144.047611,333,FALSE,NA
A25289,LB-24-3,S45289,24-3,LBM04A01,LB-24,-36.980278,144.047611,333,TRUE,36060185
A25290,LB-24-4,S45290,24-4,LBM04B01,LB-24,-36.980278,144.047611,333,TRUE,25919602
A25291,LB-24-5,S45291,24-5,LBM04C01,LB-24,-36.980278,144.047611,333,FALSE,NA
A25292,LB-24-6,S45292,24-6,LBM04D01,LB-24,-36.980278,144.047611,333,TRUE,38398295
A25293,LB-24-7,S45293,24-7,LBM04E01,LB-24,-36.980278,144.047611,333,TRUE,53829193
A25294,LB-24-8,S45294,24-8,LBM04F01,LB-24,-36.980278,144.047611,333,TRUE,47622756
A25295,LB-24-9,S45295,24-9,LBM04G01,LB-24,-36.980278,144.047611,333,TRUE,55538571
A25296,LB-24-10,S45296,24-10,LBM04H01,LB-24,-36.980278,144.047611,333,TRUE,49835258
A25297,LB-W3-1,S45297,W3-1,LBM04A02,LB-W3,-36.487921,143.891325,138,TRUE,58101329
A25298,LB-W3-2,S45298,W3-2,LBM04B02,LB-W3,-36.487921,143.891325,138,TRUE,70878071
A25299,LB-W3-3,S45299,W3-3,LBM04C02,LB-W3,-36.487921,143.891325,138,TRUE,48790973
A25300,LB-W3-4,S45300,W3-4,LBM04D02,LB-W3,-36.487921,143.891325,138,TRUE,48175847
A25301,LB-W3-5,S45301,W3-5,LBM04E02,LB-W3,-36.487921,143.891325,138,TRUE,82487774
A25302,LB-W3-6,S45302,W3-6,LBM04F02,LB-W3,-36.487921,143.891325,138,TRUE,87568892
A25303,LB-W3-7,S45303,W3-7,LBM04G02,LB-W3,-36.487921,143.891325,138,TRUE,77868040
A25304,LB-W3-8,S45304,W3-8,LBM04H02,LB-W3,-36.487921,143.891325,138,FALSE,NA
A25305,LB-W3-9,S45305,W3-9,LBM04A03,LB-W3,-36.487921,143.891325,138,TRUE,38163165
A25306,LB-W3-10,S45306,W3-10,LBM04B03,LB-W3,-36.487921,143.891325,138,FALSE,NA
A25307,LB-T3-1,S45307,T3-1,LBM04C03,LB-T3,-35.299683,147.165733,258,TRUE,53509155
A25308,LB-T3-2,S45308,T3-2,LBM04D03,LB-T3,-35.299683,147.165733,258,FALSE,NA
A25309,LB-T3-3,S45309,T3-3,LBM04E03,LB-T3,-35.299683,147.165733,258,TRUE,46783416
A25310,LB-T3-4,S45310,T3-4,LBM04F03,LB-T3,-35.299683,147.165733,258,TRUE,67343325
A25311,LB-T3-5,S45311,T3-5,LBM04G03,LB-T3,-35.299683,147.165733,258,TRUE,36967000
A25312,LB-T3-6,S45312,T3-6,LBM04H03,LB-T3,-35.299683,147.165733,258,FALSE,NA
A25313,LB-T3-7,S45313,T3-7,LBM04A04,LB-T3,-35.299683,147.165733,258,FALSE,NA
A25314,LB-T3-8,S45314,T3-8,LBM04B04,LB-T3,-35.299683,147.165733,258,TRUE,54616768
A25315,LB-T3-9,S45315,T3-9,LBM04C04,LB-T3,-35.299683,147.165733,258,TRUE,42856837
A25316,LB-T3-10,S45316,T3-10,LBM04D04,LB-T3,-35.299683,147.165733,258,FALSE,NA
A25317,LB-21-1,S45317,21-1,LBM04E04,LB-21,-37.144361,142.839428,244,TRUE,36990667
A25318,LB-21-2,S45318,21-2,LBM04F04,LB-21,-37.144361,142.839428,244,TRUE,32453490
A25319,LB-21-3,S45319,21-3,LBM04G04,LB-21,-37.144361,142.839428,244,TRUE,41700147
A25320,LB-21-4,S45320,21-4,LBM04H04,LB-21,-37.144361,142.839428,244,FALSE,NA
A25321,LB-21-5,S45321,21-5,LBM04A05,LB-21,-37.144361,142.839428,244,TRUE,52777959
A25322,LB-21-6,S45322,21-6,LBM04B05,LB-21,-37.144361,142.839428,244,FALSE,NA
A25323,LB-21-7,S45323,21-7,LBM04C05,LB-21,-37.144361,142.839428,244,TRUE,42968639
A25324,LB-21-8,S45324,21-8,LBM04D05,LB-21,-37.144361,142.839428,244,TRUE,29986750
A25325,LB-21-9,S45325,21-9,LBM04E05,LB-21,-37.144361,142.839428,244,TRUE,33358933
A25326,LB-21-10,S45326,21-10,LBM04F05,LB-21,-37.144361,142.839428,244,TRUE,40129041
A25327,LB-T2-1,S45327,T2-1,LBM04G05,LB-T2,-35.37515,147.25261,266,TRUE,48445480
A25328,LB-T2-2,S45328,T2-2,LBM04H05,LB-T2,-35.37515,147.25261,266,FALSE,NA
A25329,LB-T2-3,S45329,T2-3,LBM04A06,LB-T2,-35.37515,147.25261,266,FALSE,NA
A25330,LB-T2-4,S45330,T2-4,LBM04B06,LB-T2,-35.37515,147.25261,266,TRUE,30609731
A25331,LB-T2-5,S45331,T2-5,LBM04C06,LB-T2,-35.37515,147.25261,266,TRUE,36000316
A25332,LB-T2-6,S45332,T2-6,LBM04D06,LB-T2,-35.37515,147.25261,266,TRUE,33892393
A25333,LB-T2-7,S45333,T2-7,LBM04E06,LB-T2,-35.37515,147.25261,266,TRUE,39365785
A25334,LB-T2-8,S45334,T2-8,LBM04F06,LB-T2,-35.37515,147.25261,266,TRUE,30008580
A25335,LB-T2-9,S45335,T2-9,LBM04G06,LB-T2,-35.37515,147.25261,266,TRUE,29908971
A25336,LB-T2-10,S45336,T2-10,LBM04H06,LB-T2,-35.37515,147.25261,266,FALSE,NA
A25337,LB-13-1,S45337,13-1,LBM04A07,LB-13,-36.997778,145.474944,?,FALSE,NA
A25338,LB-13-2,S45338,13-2,LBM04B07,LB-13,-36.997778,145.474944,?,FALSE,NA
A25339,LB-13-3,S45339,13-3,LBM04C07,LB-13,-36.997778,145.474944,?,FALSE,NA
A25340,LB-13-4,S45340,13-4,LBM04D07,LB-13,-36.997778,145.474944,?,FALSE,NA
A25341,LB-13-5,S45341,13-5,LBM04E07,LB-13,-36.997778,145.474944,?,FALSE,NA
A25342,LB-13-6,S45342,13-6,LBM04F07,LB-13,-36.997778,145.474944,?,FALSE,NA
A25343,LB-26-1,S45343,26-1,LBM04G07,LB-26,-35.39474,149.677129,?,FALSE,NA
A25344,LB-26-2,S45344,26-2,LBM04H07,LB-26,-35.39474,149.677129,?,FALSE,NA
A25345,LB-26-3,S45345,26-3,LBM04A08,LB-26,-35.39474,149.677129,?,FALSE,NA
A25346,LB-26-4,S45346,26-4,LBM04B08,LB-26,-35.39474,149.677129,?,TRUE,34342318
A25347,LB-26-5,S45347,26-5,LBM04C08,LB-26,-35.39474,149.677129,?,FALSE,NA
A25348,LB-26-6,S45348,26-6,LBM04D08,LB-26,-35.39474,149.677129,?,TRUE,48061936
A25349,LB-26-7,S45349,26-7,LBM04E08,LB-26,-35.39474,149.677129,?,TRUE,29419513
A25350,LB-26-8,S45350,26-8,LBM04F08,LB-26,-35.39474,149.677129,?,FALSE,NA
A25351,LB-26-9,S45351,26-9,LBM04G08,LB-26,-35.39474,149.677129,?,TRUE,25776119
A25352,LB-26-10,S45352,26-10,LBM04H08,LB-26,-35.39474,149.677129,?,FALSE,NA
A25353,LB-i1-1,S45353,i1-1,LBM04A09,LB-i1,-36.75,145.583333,178,FALSE,NA
A25354,LB-i1-2,S45354,i1-2,LBM04B09,LB-i1,-36.75,145.583333,178,FALSE,NA
A25355,LB-i1-3,S45355,i1-3,LBM04C09,LB-i1,-36.75,145.583333,178,FALSE,NA
A25356,LB-i1-4,S45356,i1-4,LBM04D09,LB-i1,-36.75,145.583333,178,FALSE,NA
A25357,LB-i1-5,S45357,i1-5,LBM04E09,LB-i1,-36.75,145.583333,178,FALSE,NA
A25358,LB-i1-6,S45358,i1-6,LBM04F09,LB-i1,-36.75,145.583333,178,FALSE,NA
A25359,LB-i1-7,S45359,i1-7,LBM04G09,LB-i1,-36.75,145.583333,178,FALSE,NA
A25360,LB-i1-8,S45360,i1-8,LBM04H09,LB-i1,-36.75,145.583333,178,FALSE,NA
A25361,LB-i1-9,S45361,i1-9,LBM04A10,LB-i1,-36.75,145.583333,178,FALSE,NA
A25362,LB-i1-10,S45362,i1-10,LBM04B10,LB-i1,-36.75,145.583333,178,FALSE,NA
A25363,LB-O-1,S45363,O-1,LBM04C10,LB-O,-37.4279,147.8924,?,FALSE,NA
A25364,LB-O-2,S45364,O-2,LBM04D10,LB-O,-37.4279,147.8924,?,FALSE,NA
A25365,LB-O-3,S45365,O-3,LBM04E10,LB-O,-37.4279,147.8924,?,FALSE,NA
A25366,LB-O-4,S45366,O-4,LBM04F10,LB-O,-37.4279,147.8924,?,FALSE,NA
A25367,LB-O-5,S45367,O-5,LBM04G10,LB-O,-37.4279,147.8924,?,FALSE,NA
A25368,LB-O-6,S45368,O-6,LBM04H10,LB-O,-37.4279,147.8924,?,FALSE,NA
A25369,LB-O-7,S45369,O-7,LBM04A11,LB-O,-37.4279,147.8924,?,FALSE,NA
A25370,LB-O-8,S45370,O-8,LBM04B11,LB-O,-37.4279,147.8924,?,FALSE,NA
A25371,LB-O-9,S45371,O-9,LBM04C11,LB-O,-37.4279,147.8924,?,FALSE,NA
A25372,LB-O-10,S45372,O-10,LBM04D11,LB-O,-37.4279,147.8924,?,FALSE,NA
A25133,LB-7-1,S45373,7-1R,LBM04E11,LB-7,-33.936944,116.963333,?,TRUE,54780916
A25134,LB-7-2,S45374,7-2R,LBM04F11,LB-7,-33.936944,116.963333,?,FALSE,NA
A25135,LB-7-3,S45375,7-3R,LBM04G11,LB-7,-33.936944,116.963333,?,FALSE,NA
A25136,LB-7-4,S45376,7-4R,LBM04H11,LB-7,-33.936944,116.963333,?,FALSE,NA
A25137,LB-7-5,S45377,7-5R,LBM04A12,LB-7,-33.936944,116.963333,?,FALSE,NA
A25138,LB-7-6,S45378,7-6R,LBM04B12,LB-7,-33.936944,116.963333,?,FALSE,NA
A25139,LB-7-7,S45379,7-7R,LBM04C12,LB-7,-33.936944,116.963333,?,FALSE,NA
