SampleID,Species,Location,Date,Latitude,Longitude,Elevation,SampleName,Datum,Population,N,ReferenceSpecies,SetName
J344,Eucalyptus polyanthemos,"Pierces Creek State Forest, Vanitys Crossing",2015-11-19T00:00:00Z,-35.33962,148.91113000000001,NA,J344,WGS84,NA,10,Eucalyptus polyanthemos,E_polyanthemos
J345,Eucalyptus albens,"Mullion, Mountain Creek Rd.",2015-11-20T00:00:00Z,-35.07022,148.83685,NA,J345,WGS84,NA,225,Eucalyptus albens,E_albens
J346,Eucalyptus melliodora,"Mullion, Mountain Creek Rd.",2015-11-20T00:00:00Z,-35.06954,148.83661,NA,J346,WGS84,NA,334,Eucalyptus melliodora,E_melliodora
J347,Eucalyptus polyanthemos,"Wee Jasper, Doctors Flat Rd.",2015-11-20T00:00:00Z,-35.09381,148.74881,NA,J347,WGS84,NA,10,Eucalyptus polyanthemos,E_polyanthemos
J348,Eucalyptus polyanthemos,"Wee Jasper, Wee Jasper Rd.",2015-11-20T00:00:00Z,-35.24184,148.29729,NA,J348,WGS84,NA,10,Eucalyptus polyanthemos,E_polyanthemos
J349,Eucalyptus albens,"Wee Jasper, Wee Jasper Rd.",2015-11-20T00:00:00Z,-35.24369,148.2968,NA,J349,WGS84,NA,225,Eucalyptus albens,E_albens
J350,Eucalyptus albens,"Tarcutta, Mates Gully Rd.",2015-11-20T00:00:00Z,-35.2456,147.68083,NA,J350,WGS84,NA,225,Eucalyptus albens,E_albens
J351,Eucalyptus polyanthemos,"Tarcutta, Mates Gully Rd.",2015-11-20T00:00:00Z,-35.25609,147.68506,NA,J351,WGS84,NA,10,Eucalyptus polyanthemos,E_polyanthemos
J353,Eucalyptus polyanthemos,"Blue Metal Rest Area, M31",2015-11-20T00:00:00Z,-35.8453,147.19722,NA,J353,WGS84,NA,10,Eucalyptus polyanthemos,E_polyanthemos
J354,Eucalyptus moluccana,"Blue Metal Rest Area, M31",2015-11-20T00:00:00Z,-35.84469,147.19794,NA,J354,WGS84,NA,11,Eucalyptus albens,E_albens
J355,Eucalyptus sideroxylon,"Chiltern, Chiltern-Howlong Rd.",2015-11-21T00:00:00Z,-36.09264,146.61917,NA,J355,WGS84,NA,173,Eucalyptus sideroxylon,E_sideroxylon
J355b,Eucalyptus sideroxylonXmicrocarpa,"Chiltern, Chiltern-Howlong Rd.",2015-11-21T00:00:00Z,-36.08961,146.62105,NA,J355b,WGS84,NA,1,Eucalyptus sideroxylon,E_sideroxylon
J357,Eucalyptus melliodora,"Collendina State Forest, Spring Dr.",2015-11-21T00:00:00Z,-36.019,146.29446,NA,J357,WGS84,NA,334,Eucalyptus melliodora,E_melliodora
J358,Eucalyptus melliodora,"Urana, Walbundrie Rd.",2015-11-21T00:00:00Z,-35.38973,146.35303,NA,J358,WGS84,NA,334,Eucalyptus melliodora,E_melliodora
J359,Eucalyptus sideroxylon,"Ingalba Nature Reserve, Hwy 94",2015-11-21T00:00:00Z,-34.47594,147.40941,NA,J359,WGS84,NA,173,Eucalyptus sideroxylon,E_sideroxylon
J360,Eucalyptus conica,"Orange, Old Forbes Rd.",2015-11-21T00:00:00Z,-34.01205,148.12904,NA,J360,WGS84,NA,18,Eucalyptus polyanthemos,E_polyanthemos
J361,Eucalyptus albens,"Nangar Natl Park, Dripping Rock Rd.",2015-11-22T00:00:00Z,-33.42118,148.51154,NA,J361,WGS84,NA,225,Eucalyptus albens,E_albens
J362,Eucalyptus sideroxylon,"Nangar Natl Park, Dripping Rock Rd.",2015-11-22T00:00:00Z,-33.42108,148.51126,NA,J362,WGS84,NA,173,Eucalyptus sideroxylon,E_sideroxylon
J363,Eucalyptus microcarpa,"Eugowra, Escort Way",2015-11-22T00:00:00Z,-33.41328,148.22136,NA,J363,WGS84,NA,14,Eucalyptus albens,E_albens
J364,Eucalyptus conica,"Eugowra, Escort Way",2015-11-22T00:00:00Z,-33.41328,148.22136,NA,J364,WGS84,NA,18,Eucalyptus polyanthemos,E_polyanthemos
J365,Eucalyptus melliodora,"Glenwood State Forest, Cargo Rd.",2015-11-22T00:00:00Z,-33.31832,148.97163,NA,J365,WGS84,NA,334,Eucalyptus melliodora,E_melliodora
J366,Eucalyptus fibrosa,"Gardens of Stone Natl Park, Glen Davis Rd.",2015-11-22T00:00:00Z,-33.12436,150.01617,NA,J366,WGS84,NA,11,Eucalyptus caleyi,E_caleyi
J367,Eucalyptus sideroxylon,"Uralla-Kingstown Rd, Kingstown",2015-12-15T00:00:00Z,-30.5285,151.15897,NA,J367,WGS84,NA,173,Eucalyptus sideroxylon,E_sideroxylon
J367i,Eucalyptus sideroxylonXmoluccana,"Uralla-Kingstown Rd, Kingstown",2015-12-15T00:00:00Z,-30.52474,151.15401,NA,J367i,WGS84,NA,1,Eucalyptus sideroxylon,E_sideroxylon
J368,Eucalyptus caleyi,"Kingstwon-Retreat Rd, Kingstown",2015-12-15T00:00:00Z,-30.57301,151.09172,NA,J368,WGS84,NA,9,Eucalyptus caleyi,E_caleyi
J369,Eucalyptus caleyi,"Thunderbolts Way, Bundarra",2015-12-15T00:00:00Z,-30.07144,151.09796,NA,J369,WGS84,NA,9,Eucalyptus caleyi,E_caleyi
J370,Eucalyptus fibrosa,"Bucketts Way, Stroud Road",2016-01-20T00:00:00Z,-32.62925,151.87758,NA,J370,WGS84,NA,11,Eucalyptus caleyi,E_caleyi
J371,Eucalyptus fibrosa,"Bucketts Way, Wards River",2016-01-20T00:00:00Z,-32.23292,151.93147,NA,J371,WGS84,NA,11,Eucalyptus caleyi,E_caleyi
J372,Eucalyptus polyanthemos,"Licola, Tamboritha Rd",2016-01-24T00:00:00Z,-37.60536,146.64015,NA,J372,WGS84,NA,10,Eucalyptus polyanthemos,E_polyanthemos
J373,Eucalyptus melliodora,Doctors Flat,2016-01-24T00:00:00Z,-37.46662,147.83218,NA,J373,WGS84,NA,334,Eucalyptus melliodora,E_melliodora
J374,Eucalyptus albens,Ensay,2016-01-24T00:00:00Z,-37.36159,147.85228,NA,J374,WGS84,NA,225,Eucalyptus albens,E_albens
J375,Eucalyptus melliodora,Buchan,2016-01-25T00:00:00Z,-37.40165,148.21443,NA,J375,WGS84,NA,334,Eucalyptus melliodora,E_melliodora
J376,Eucalyptus albens,McKillop Bridge,2016-01-25T00:00:00Z,-37.07782,148.34419,NA,J376,WGS84,NA,225,Eucalyptus albens,E_albens
J377,Eucalyptus albens,Suggan Buggan,2016-01-25T00:00:00Z,-36.96985,148.30525,NA,J377,WGS84,NA,225,Eucalyptus albens,E_albens
J379,Eucalyptus polyanthemos,Bombala,2016-01-26T00:00:00Z,-36.94525,149.4919,NA,J379,WGS84,NA,10,Eucalyptus polyanthemos,E_polyanthemos
J381,Eucalyptus polyanthemos,Bruthen,2016-01-27T00:00:00Z,-37.3619,149.66098,NA,J381,WGS84,NA,10,Eucalyptus polyanthemos,E_polyanthemos
J382a,Eucalyptus albens,Swifts Creek,2016-01-27T00:00:00Z,-37.21575,147.71677,NA,J382a,WGS84,NA,225,Eucalyptus albens,E_albens
J383,Eucalyptus polyanthemos,Yambuck,2016-01-27T00:00:00Z,-36.31995,146.84286,NA,J383,WGS84,NA,10,Eucalyptus polyanthemos,E_polyanthemos
J385,Eucalyptus sideroxylon,Chiltern,2016-01-29T00:00:00Z,-36.17434,146.66263,NA,J385,WGS84,NA,173,Eucalyptus sideroxylon,E_sideroxylon
J386,Eucalyptus albens,Chiltern,2016-01-29T00:00:00Z,-36.14425,146.65103,NA,J386,WGS84,NA,225,Eucalyptus albens,E_albens
J387,Eucalyptus sideroxylon,Warrangatta,2016-01-29T00:00:00Z,-32.24456,146.18248,NA,J387,WGS84,NA,173,Eucalyptus sideroxylon,E_sideroxylon
J388f,Eucalyptus albens,Warrangatta,2016-01-29T00:00:00Z,-36.26528,146.15425,NA,J388f,WGS84,NA,225,Eucalyptus albens,E_albens
J389,Eucalyptus polyanthemos,Reef Road State Park,2016-01-29T00:00:00Z,-36.60631,145.92644,NA,J389,WGS84,NA,10,Eucalyptus polyanthemos,E_polyanthemos
J390,Eucalyptus albens,Reef Road State Park,2016-01-29T00:00:00Z,-36.5877,145.96066,NA,J390,WGS84,NA,225,Eucalyptus albens,E_albens
J393,Eucalyptus albens,Heathcote,2016-01-30T00:00:00Z,-36.93458,144.74492,NA,J393,WGS84,NA,225,Eucalyptus albens,E_albens
J394g,Eucalyptus albens,Lake Eppalock,2016-01-30T00:00:00Z,-36.84715,144.52614,NA,J394g,WGS84,NA,225,Eucalyptus albens,E_albens
J395,Eucalyptus albensXmicrocarpa,"Powers Rd, Woodstock on Loddon",2016-01-31T00:00:00Z,-36.76884,144.07336,NA,J395,WGS84,NA,1,Eucalyptus albens,E_albens
J400,Eucalyptus moluccana,"Torreyburn Rd, Yarrowyck",2016-04-05T00:00:00Z,-30.44375,151.25961,NA,J400,WGS84,NA,11,Eucalyptus albens,E_albens
J401,Eucalyptus sideroxylon,"Torreyburn Rd, Yarrowyck",2016-04-05T00:00:00Z,-30.44023,151.25069,NA,J401,WGS84,NA,173,Eucalyptus sideroxylon,E_sideroxylon
J402,Eucalyptus caleyi,"Bundarra Rd, Copeton",2016-04-05T00:00:00Z,-30.04322,150.94122,NA,J402,WGS84,NA,9,Eucalyptus caleyi,E_caleyi
J403,Eucalyptus caleyi,Copeton Dam Rd,2016-04-05T00:00:00Z,-29.92441,150.93559,NA,J403,WGS84,NA,9,Eucalyptus caleyi,E_caleyi
J404,Eucalyptus caleyi,Copeton Dam Rd,2016-04-05T00:00:00Z,-29.98952,150.85857,NA,J404,WGS84,NA,9,Eucalyptus caleyi,E_caleyi
J405,Eucalyptus sideroxylon,Baldersleigh Rd,2016-04-05T00:00:00Z,-30.22862,151.23865,NA,J405,WGS84,NA,173,Eucalyptus sideroxylon,E_sideroxylon
J406,Eucalyptus albens,"Baldersleigh Rd, The Basin",2016-04-05T00:00:00Z,-30.23707,151.252,NA,J406,WGS84,NA,225,Eucalyptus albens,E_albens
J407,Eucalyptus fibrosa,Nymboidea,2016-04-06T00:00:00Z,-30.05045,152.63814,NA,J407,WGS84,NA,11,Eucalyptus caleyi,E_caleyi
J408,Eucalyptus crebra,Nymboidea,2016-04-06T00:00:00Z,-29.92432,152.75188,NA,J408,WGS84,NA,11,Eucalyptus caleyi,E_caleyi
J411,Eucalyptus fibrosa,"Old Grafton Rd, Gibraltar",2016-04-07T00:00:00Z,-29.69674,152.10576,NA,J411,WGS84,NA,11,Eucalyptus caleyi,E_caleyi
J412,Eucalyptus moluccana,"Appleby Rd, Moonbi",2016-06-16T00:00:00Z,-30.96459,150.84267,NA,J412,WGS84,NA,11,Eucalyptus albens,E_albens
